기업,연도,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,당기순이익
웹젠,2018,2.84E+11,1.13E+11,3.97E+11,67896074198,14954539095,82850613293,17655442000,1.95E+11,3.14E+11,2.19E+11,68862257308,50125496581
웹케시,2020,46187248275,53035615578,99222863853,28236612147,3867058510,32103670657,3381827500,41830273326,67119193196,72830845860,14287165326,17385521803
웹케시,2019,23267782966,40004375007,63272157973,8048023799,999718527,9047742326,3381827500,26091246906,54224415647,61201347186,9274524411,9278684203
웹케시,2018,14975919364,22157691098,37133610462,13283306110,1501828096,14785134206,2815611000,17272519597,22348476256,76558340204,5799572906,5500098120
위니아,2017,1.80E+11,1.63E+11,3.43E+11,1.82E+11,69890990954,2.52E+11,17983647500,9659025237,91078026510,4.95E+11,6719038145,2230103304
위니아,2020,2.91E+11,2.35E+11,5.26E+11,3.26E+11,85264686322,4.11E+11,17983647500,10242265477,1.15E+11,8.76E+11,49738324400,30424355042
위니아,2019,2.59E+11,2.12E+11,4.71E+11,2.86E+11,65520792260,3.51E+11,17983647500,-877534090,1.19E+11,7.50E+11,20645109379,11060139797
위니아,2018,1.78E+11,1.68E+11,3.46E+11,1.98E+11,74806735713,2.73E+11,17983647500,-10463476648,73686650198,5.57E+11,-1220335998,-13351582753
위닉스,2018,,,,,,,,,,,,
위더스제약,2020,74014693605,32165325543,1.06E+11,20348889410,8954031703,29302921113,1758483000,58879663137,76877098035,26216391736,1362391952,1867397657
위더스제약,2019,73529968661,33482792800,1.07E+11,24160928952,6092362124,30253291076,1758483000,58940835376,76759470385,52393203844,9735265079,8038596924
위더스제약,2018,55132219332,21150763194,76282982526,18167305971,5686868774,23854174745,1550000000,50878807781,52428807781,51732081636,10934656637,8661484052
위드텍,2018,,,,,,,,,,,,
위메이드,2017,3.22E+11,1.31E+11,4.53E+11,93596242921,17669378036,1.11E+11,,,3.42E+11,1.10E+11,5975219701,-885023302
위메이드,2020,1.46E+11,1.78E+11,3.23E+11,64614603803,2735748462,67350352265,,,2.56E+11,1.26E+11,-12838601170,-18361927120
위메이드,2019,1.27E+11,1.70E+11,2.96E+11,60737043161,860985945,61598029106,,,2.35E+11,1.14E+11,-9330257173,-28698789113
위메이드,2018,1.78E+11,1.73E+11,3.51E+11,72974228101,2269612737,75243840838,,,2.76E+11,1.27E+11,-36162084782,-48528176488
위메이드맥스,2017,33438942751,48868028714,82306971465,6145999655,14532141930,20678141585,4252617000,21303208446,61628829880,32167674320,-8332096228,-11950874848
위메이드맥스,2020,27961486619,14176791415,42138278034,7742055371,6104946668,13847002039,7897817500,-39186436859,28291275995,37921102963,-5176976120,-10007969719
위메이드맥스,2019,15472153335,11702277036,27174430371,22436991524,193483590,22630475114,4252617000,-28781270442,4543955257,30487911610,-10955552208,-15993264636
위메이드맥스,2018,24717738061,16685791041,41403529102,19793528004,378565628,20172093632,4252617000,-17086887273,21231435470,28752746500,-12693576491,-41717459026
위메이드플레이,2017,99939450404,37681481850,1.38E+11,7669442110,2608643525,10278085635,4784921000,1.16E+11,1.27E+11,72654464068,12520686230,14145325621
위메이드플레이,2020,1.44E+11,21142174008,1.65E+11,16658899023,3995223707,20654122730,4784921000,1.41E+11,1.45E+11,1.06E+11,12984963850,14643914860
위메이드플레이,2019,1.23E+11,32680371416,1.55E+11,14719959244,3884716530,18604675774,4784921000,1.27E+11,1.37E+11,84400907135,2762398313,2962423449
위메이드플레이,2018,97460736932,55047715177,1.53E+11,13792112453,1740743182,15532855635,4784921000,1.24E+11,1.37E+11,85986810005,8557118924,9921388659
위세아이텍,2020,26834961862,14778131891,41613093753,5639953136,11177615481,16817568617,2226805500,12460730472,24795525136,24862449001,3683153291,3374737501
위세아이텍,2019,12223167776,5699521948,17922689724,5076711583,1780015803,6856727386,1700000000,9255992971,11065962338,19719477166,2912073304,2665962417
위세아이텍,2018,9963868495,4844638523,14808507018,4669739638,1664290295,6334029933,1700000000,6675030554,8474477085,0,0,0
위즈코프,2017,16120731623,29823420061,45944151684,4218588256,565183857,4783772113,17781464500,3592366641,41160379571,36272380635,930549211,1206036398
위즈코프,2020,25957952248,25220074592,51178026840,1683144828,5671465611,7354610439,19415386000,5608367465,43823416401,28206514295,841108949,2732311048
위즈코프,2019,17526025015,24154848612,41680873627,1101256013,616651196,1717907209,19415386000,1877988402,39962966418,36756137479,1038640929,25282899
위즈코프,2018,17657812381,27040968371,44698780752,3659918159,516089026,4176007185,18578536000,2493518213,40522773567,39602235213,636461733,64981387
위지윅스튜디오,2020,84487872698,94447802688,1.79E+11,80744975234,3723308835,84468284069,15647760500,8601651477,94467391317,1.10E+11,1849297172,3186637701
